dimensions,budget,algorithm,rank,ngopt rank,algo ID,in data,points test,rank test
5,500,MetaModel,2,2,3,True,180,2
5,500,ChainMetaModelPowell,2,2,1,True,153,4
5,500,MetaModelOnePlusOne,4,4,4,True,139,5
5,500,CMA,5,5,0,True,174,3
5,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,431,1
5,1000,CMA,2,2,0,True,210,3
5,1000,ConfPortfolio_scale2_NA_ngopt14s_1,2,2,38,True,210,3
5,1000,ChainMetaModelPowell,4,4,1,True,170,5
5,1000,MetaModel,4,4,3,True,216,2
5,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,403,1
5,1500,CMA,2,2,0,True,300,2
5,1500,ConfPortfolio_scale2_NA_ngopt14s_1,2,2,38,True,300,2
5,1500,ChainMetaModelPowell,4,4,1,True,193,5
5,1500,MetaModel,4,4,3,True,277,4
5,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,0,5,True,379,1
5,2000,ConfPortfolio_scale2_NA_ngopt14s_1,1,1,38,True,354,2
5,2000,CMA,1,-1,0,True,354,2
5,2000,ChainMetaModelPowell,3,3,1,True,205,5
5,2000,MetaModel,3,3,3,True,306,4
5,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,0,5,True,375,4
5,2500,CMA,1,-1,0,True,402,1
5,2500,ConfPortfolio_scale2_NA_ngopt14s_1,1,1,38,True,402,1
5,2500,MetaModel,3,3,3,True,376,3
5,2500,ChainMetaModelPowell,3,3,1,True,223,5
5,3000,ConfPortfolio_scale2_NA_ngopt14s_7,21,0,11,True,232,5
5,3000,CMA,1,-1,0,True,462,1
5,3000,ConfPortfolio_scale2_NA_ngopt14s_1,1,1,38,True,462,1
5,3000,MetaModel,3,3,3,True,444,3
5,3000,ChainMetaModelPowell,3,3,1,True,259,4
5,3500,ConfPortfolio_scale2_NA_ngopt14s_7,22,0,11,True,228,5
5,3500,CMA,1,-1,0,True,476,1
5,3500,ConfPortfolio_scale2_NA_ngopt14s_1,1,1,38,True,476,1
5,3500,ChainMetaModelPowell,3,3,1,True,287,4
5,3500,MetaModel,3,3,3,True,463,3
5,4000,ConfPortfolio_scale2_NA_ngopt14s_8,25,0,10,True,225,5
5,4000,ConfPortfolio_scale2_NA_ngopt14s_1,1,1,38,True,490,1
5,4000,CMA,1,-1,0,True,490,1
5,4000,MetaModel,3,3,3,True,470,3
5,4000,ChainMetaModelPowell,3,3,1,True,320,4
5,4500,ConfPortfolio_scale2_NA_ngopt14s_8,23,0,10,True,250,5
5,4500,ConfPortfolio_scale2_NA_ngopt14s_1,1,1,38,True,509,1
5,4500,CMA,1,-1,0,True,509,1
5,4500,ChainMetaModelPowell,3,3,1,True,350,4
5,4500,MetaModel,3,3,3,True,476,3
5,5000,ConfPortfolio_scale2_NA_ngopt14s_9,26,0,9,True,265,5
5,5000,ConfPortfolio_scale2_NA_ngopt14s_1,1,1,38,True,524,1
5,5000,CMA,1,-1,0,True,524,1
5,5000,MetaModel,3,3,3,True,501,3
5,5000,ChainMetaModelPowell,3,3,1,True,381,4
5,6000,ConfPortfolio_scale2_NA_ngopt14s_9,30,0,9,True,301,5
5,6000,ChainMetaModelPowell,1,-1,1,True,412,4
5,6000,MetaModel,2,2,3,True,522,3
5,6000,CMA,3,3,0,True,546,1
5,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,546,1
5,7000,ConfPortfolio_scale2_NA_ngopt14s_10,31,0,8,True,356,5
5,7000,ChainMetaModelPowell,1,-1,1,True,432,4
5,7000,MetaModel,2,2,3,True,543,3
5,7000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,557,1
5,7000,CMA,3,3,0,True,557,1
5,8000,ConfPortfolio_scale2_NA_ngopt14s_11,29,0,7,True,393,5
5,8000,ChainMetaModelPowell,1,-1,1,True,442,4
5,8000,MetaModel,2,2,3,True,547,3
5,8000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,560,1
5,8000,CMA,3,3,0,True,560,1
5,9000,ConfPortfolio_scale2_NA_ngopt14s_11,30,0,7,True,425,5
5,9000,MetaModel,1,-1,3,True,555,3
5,9000,ChainMetaModelPowell,2,2,1,True,450,4
5,9000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,557,1
5,9000,CMA,3,3,0,True,557,1
5,10000,ConfPortfolio_scale2_NA_ngopt14s_12,30,0,6,True,397,4
5,10000,MetaModel,1,-1,3,True,551,2
5,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,2,2,26,True,559,1
5,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,2,2,21,False,0,5
5,10000,ChainMetaModelPowell,4,4,1,True,447,3
10,200,Cobyla,1,0,2,True,287,1
10,200,MetaModelOnePlusOne,2,2,4,True,241,3
10,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5,True,257,2
10,200,ChainMetaModelPowell,4,4,1,True,9,5
10,200,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38,True,70,4
10,300,Cobyla,1,0,2,True,236,2
10,300,MetaModelOnePlusOne,2,2,4,True,208,3
10,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5,True,283,1
10,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38,True,119,4
10,300,ChainMetaModelPowell,4,4,1,True,36,5
10,500,Cobyla,1,0,2,True,186,2
10,500,MetaModelOnePlusOne,2,2,4,True,149,3
10,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5,True,307,1
10,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38,True,149,3
10,500,ChainMetaModelPowell,4,4,1,True,112,5
10,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,313,1
10,1000,MetaModel,2,2,3,True,206,3
10,1000,ChainMetaModelPowell,2,2,1,True,179,4
10,1000,ConfPortfolio_scale2_NA_ngopt14s_1,2,2,38,True,212,2
10,1000,MetaModelOnePlusOne,5,5,4,True,145,5
10,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,337,1
10,1500,MetaModel,2,2,3,True,274,2
10,1500,ConfPortfolio_scale2_NA_ngopt14s_1,2,2,38,True,261,3
10,1500,ChainMetaModelPowell,2,2,1,True,199,5
10,1500,CMA,5,5,0,True,261,3
10,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,362,1
10,2000,CMA,2,2,0,True,268,3
10,2000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,268,3
10,2000,MetaModel,3,3,3,True,281,2
10,2000,ChainMetaModelPowell,3,3,1,True,188,5
10,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,399,1
10,2500,CMA,2,2,0,True,286,2
10,2500,MetaModel,3,3,3,True,275,4
10,2500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,286,2
10,2500,ChainMetaModelPowell,3,3,1,True,203,5
