dimensions,budget,algorithm,rank,ngopt rank,algo ID
3,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
3,4000,CMA,3,3,0
3,2000,CMA,3,3,0
100,3500,ChainMetaModelPowell,3,3,1
35,2500,MetaModelOnePlusOne,3,3,4
100,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
100,3500,CMA,3,3,0
5,4000,MetaModel,3,3,3
90,3500,MetaModelOnePlusOne,3,3,4
3,1500,MetaModel,3,3,3
70,3500,ChainMetaModelPowell,3,3,1
70,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
70,3500,CMA,3,3,0
3,1500,ChainMetaModelPowell,3,3,1
50,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
50,3500,CMA,3,3,0
50,2500,MetaModelOnePlusOne,3,3,4
45,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
45,3500,CMA,3,3,0
80,3500,MetaModelOnePlusOne,3,3,4
5,4000,ChainMetaModelPowell,3,3,1
10,4000,MetaModel,3,3,3
10,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
45,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
10,2000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
45,4000,CMA,3,3,0
5,2500,MetaModel,3,3,3
60,1000,MetaModelOnePlusOne,3,3,4
40,4000,MetaModelOnePlusOne,3,3,4
5,2500,ChainMetaModelPowell,3,3,1
10,2000,MetaModel,3,3,3
35,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
10,2500,MetaModel,3,3,3
10,2500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
35,4000,ChainMetaModelPowell,3,3,1
70,1000,MetaModelOnePlusOne,3,3,4
10,2500,ChainMetaModelPowell,3,3,1
5,2000,ChainMetaModelPowell,3,3,1
80,1000,MetaModelOnePlusOne,3,3,4
5,2000,MetaModel,3,3,3
25,2500,MetaModelOnePlusOne,3,3,4
